Thème,Difficulté question,Questions,A,B,C,D,Réponse
Cinéma & Films,Facile,Dans quel pays a été créé le cinéma en 1895?,États-Unis,Italie,France,Allemagne,D
Cinéma & Films,Facile,Quel acteur joue Iron Man dans l'Univers Cinématique Marvel?,Chris Evans,Tom Holland,Robert Downey Jr.,Chris Hemsworth,C
Cinéma & Films,Facile,Quel film Disney raconte l'histoire d'une jeune fille avec de longs cheveux magiques?,Vaiana,Raiponce,Raiponce,La Reine des Neiges,D
Cinéma & Films,Facile,"En quelle année le premier film ""Avengers"" est-il sorti?",2011,2013,2010,2012,A
Cinéma & Films,Facile,"Quel réalisateur a créé la saga ""Star Wars"" originale (trilogie classique)?",James Cameron,Steven Spielberg,Martin Scorsese,George Lucas,C
Cinéma & Films,Facile,Quel est le plus long film jamais réalisé (selon le Guinness)?,Avatar,Titanic,Logistics (Svedish film),Pulp Fiction,A
Cinéma & Films,Facile,"Qui a réalisé ""Titanic"" (1997)?",James Cameron,Christopher Nolan,Steven Spielberg,Martin Scorsese,A
Cinéma & Films,Facile,Quel personnage de dessin animé Disney est une souris?,Goofy,Minnie,Donald,Mickey,C
Cinéma & Films,Facile,Dans quel film voit-on le personnage Jack Sparrow?,Pirates des Caraïbes,Aquaman,Le Seigneur des Anneaux,Harry Potter,A
Cinéma & Films,Facile,"Quel acteur joue Batman dans ""The Dark Knight"" (2008)?",Ben Affleck,Christian Bale,George Clooney,Val Kilmer,D
Cinéma & Films,Facile,Quel film Pixar raconte l'histoire d'un jouet cowboy nommé Woody?,Monstres & Cie,Raiponce,Vice-Versa,Toy Story,C
Cinéma & Films,Facile,En quelle année le Titanic a-t-il coulé (dans l'histoire)?,1915,1905,1912,1920,C
Cinéma & Films,Facile,"Quel réalisateur a réalisé ""Inception"" (2010)?",Quentin Tarantino,Denis Villeneuve,Ari Aster,Christopher Nolan,D
Cinéma & Films,Facile,"Quel est le personnage principal du film ""Avatar"" (2009)?",Jake Sully,Neytiri,Eywa,Colonel Quaritch,B
Cinéma & Films,Facile,Quel film Marvel met en scène un groupe de super-héros extraterrestres?,Doctor Strange,Avengers,Agents of SHIELD,Guardians of the Galaxy,D
Cinéma & Films,Facile,Quel acteur interprète Superman?,Ben Affleck,Les trois,Brandon Routh,Henry Cavill,C
Cinéma & Films,Facile,"Dans ""Le Seigneur des Anneaux"", quel acteur joue Frodo?",Elijah Wood,Viggo Mortensen,Orlando Bloom,Ian McKellen,B
Cinéma & Films,Facile,Quel est le film d'animation Disney sorti en 2013 sur une reine de glace?,Raiponce,Vaiana,Frozen,La Reine des Neiges,D
Cinéma & Films,Facile,"Qui a réalisé ""Jurassic Park"" (1993)?",James Cameron,Steven Spielberg,John Carpenter,George Lucas,A
Cinéma & Films,Facile,Dans quel film voit-on un adolescent devenir Spider-Man après une piqûre d'araignée radioactive?,Spider-Man (2002),The Amazing Spider-Man,Spider-Man: Homecoming,Tous les films Spider-Man,A
Cinéma & Films,Facile,"Quel réalisateur est connu pour ses films de science-fiction épiques comme ""Interstellar""?",James Cameron,Ridley Scott,Denis Villeneuve,Christopher Nolan,C
Cinéma & Films,Facile,Quel film de 2015 met en scène un droid nommé BB-8?,Star Wars: Rise of Skywalker,Star Wars: Rogue One,Star Wars: The Last Jedi,Star Wars: The Force Awakens,B
Cinéma & Films,Facile,Dans quel film voit-on le personnage Gollum?,Les deux derniers (B et C),Le Seigneur des Anneaux,Le Hobbit,Harry Potter,A
Cinéma & Films,Facile,"Quel acteur joue le Joker dans ""The Dark Knight"" (2008)?",Jack Nicholson,Jared Leto,Heath Ledger,Joaquin Phoenix,B
Cinéma & Films,Facile,Quel film raconte l'histoire d'un homme qui se retrouve piégé dans une boucle temporelle?,Edge of Tomorrow,Groundhog Day,Interstellar,Inception,A
Cinéma & Films,Facile,"En quelle année est sorti le premier ""Harry Potter"" au cinéma?",2002,2001,2000,1999,B
